student_id,age,gender,gpa,previous_enrollment,hours_studied,parent_education_level,participated_in_extracurriculars,attendance_rate,socioeconomic_status,enrollment_status
ST4000,23,Male,3.28,Yes,21,Master's,No,71,Low,No
ST4001,20,Female,2.17,No,13,Bachelor's,No,79,Low,Yes
ST4002,21,Male,2.32,Yes,37,Bachelor's,No,64,Low,Yes
ST4003,23,Male,3.8,Yes,24,High School,No,96,Medium,No
ST4004,19,Female,3.21,No,17,Bachelor's,Yes,97,High,Yes
ST4005,24,Male,2.02,No,32,Bachelor's,Yes,89,Low,No
ST4006,21,Female,2.2,No,33,Master's,Yes,68,High,No
ST4007,21,Female,3.33,Yes,17,Bachelor's,Yes,93,Low,No
ST4008,23,Female,2.01,No,39,High School,No,94,Low,No
ST4009,18,Male,2.32,Yes,10,Bachelor's,Yes,81,High,Yes
ST4010,19,Male,3.1,Yes,22,Master's,Yes,83,Medium,No
ST4011,23,Male,3.38,Yes,9,Master's,No,76,Low,Yes
ST4012,19,Male,3.3,Yes,29,Bachelor's,Yes,69,Low,Yes
ST4013,19,Male,2.45,No,6,Master's,Yes,89,Low,Yes
ST4014,24,Male,3.42,No,14,High School,Yes,82,High,Yes
ST4015,21,Male,2.47,Yes,34,High School,Yes,91,Medium,Yes
ST4016,20,Female,2.65,Yes,9,Bachelor's,Yes,76,High,Yes
ST4017,24,Male,3.49,Yes,37,Bachelor's,Yes,76,High,Yes
ST4018,24,Female,3.3,No,5,Bachelor's,No,73,Medium,Yes
ST4019,19,Male,3.7,Yes,22,Master's,No,68,High,Yes
ST4020,22,Male,3.32,Yes,36,High School,Yes,99,Medium,Yes
ST4021,21,Male,3.14,No,15,High School,Yes,61,Low,No
ST4022,18,Female,2.19,No,25,Master's,No,84,Medium,No
ST4023,24,Female,2.74,Yes,30,High School,Yes,98,Low,No
ST4024,20,Female,2.53,No,29,Bachelor's,Yes,68,High,Yes
ST4025,22,Female,2.49,No,26,Bachelor's,Yes,81,High,No
ST4026,22,Male,3.95,Yes,31,Bachelor's,No,63,Low,No
ST4027,18,Female,2.79,No,17,High School,Yes,85,High,No
ST4028,24,Male,3.78,Yes,37,Bachelor's,No,88,Medium,Yes
ST4029,20,Male,3.26,No,38,Master's,Yes,93,Low,Yes
ST4030,21,Female,3.59,Yes,39,Master's,No,82,High,Yes
ST4031,17,Female,3.01,Yes,5,High School,No,96,Low,Yes
ST4032,20,Female,3.15,Yes,25,Master's,Yes,70,Medium,No
ST4033,18,Female,2.99,No,10,Master's,No,65,Medium,No
ST4034,22,Female,2.39,Yes,32,High School,Yes,77,High,No
ST4035,21,Female,3.44,No,21,Bachelor's,No,80,Medium,No
ST4036,20,Female,2.56,Yes,9,Bachelor's,Yes,95,Low,Yes
ST4037,17,Female,2.05,Yes,35,Bachelor's,Yes,97,Medium,Yes
ST4038,17,Male,3.29,No,9,High School,No,93,Low,Yes
ST4039,19,Female,2.35,Yes,7,Master's,Yes,76,Low,No
ST4040,19,Female,3.88,Yes,27,Bachelor's,Yes,96,Medium,Yes
ST4041,23,Male,3.91,No,14,Bachelor's,No,84,High,Yes
ST4042,18,Female,3.83,Yes,14,High School,Yes,97,Medium,No
ST4043,24,Male,2.74,Yes,23,Bachelor's,Yes,71,Low,No
ST4044,20,Male,2.03,Yes,21,High School,No,82,Low,Yes
ST4045,20,Female,3.86,Yes,25,Master's,No,81,Medium,Yes
ST4046,24,Male,2.86,No,18,High School,Yes,80,High,Yes
ST4047,23,Male,3.93,No,13,High School,Yes,86,High,Yes
ST4048,22,Male,3.93,Yes,5,High School,No,90,Low,Yes
ST4049,22,Male,3.71,No,17,High School,No,65,Low,Yes
ST4050,23,Female,2.59,Yes,8,Master's,Yes,86,High,No
ST4051,22,Male,2.77,No,5,Master's,No,99,Medium,No
ST4052,19,Female,3.7,Yes,36,Bachelor's,Yes,93,Low,No
ST4053,20,Male,2.63,Yes,38,Master's,Yes,71,Low,Yes
ST4054,23,Male,2.34,Yes,32,Master's,Yes,66,High,No
ST4055,20,Male,3.11,Yes,35,Bachelor's,Yes,69,Medium,Yes
ST4056,24,Male,3.87,Yes,12,Master's,Yes,76,High,Yes
ST4057,17,Female,3.39,Yes,30,High School,No,85,Medium,No
ST4058,19,Female,3.14,No,38,High School,No,80,Medium,Yes
ST4059,21,Male,2.19,Yes,7,Bachelor's,No,87,Medium,Yes
ST4060,19,Male,3.23,No,16,Bachelor's,No,61,Low,No
ST4061,23,Female,3.98,Yes,5,Bachelor's,Yes,60,High,No
ST4062,21,Male,2.28,No,9,High School,Yes,95,High,No
ST4063,17,Male,3.04,No,34,Master's,Yes,85,Medium,Yes
ST4064,23,Male,3.75,No,34,High School,Yes,88,Low,No
ST4065,18,Female,3.48,Yes,21,Bachelor's,No,80,Low,No
ST4066,20,Female,3.39,Yes,27,Master's,Yes,70,High,Yes
ST4067,17,Female,3.4,No,19,Master's,Yes,99,Low,No
ST4068,20,Male,2.72,Yes,25,High School,No,70,Low,No
ST4069,22,Male,2.59,No,18,Bachelor's,No,95,Medium,No
ST4070,18,Female,3.62,Yes,6,High School,No,98,Low,Yes
ST4071,18,Female,3.62,No,15,Master's,No,99,Medium,Yes
ST4072,17,Female,3.73,No,38,High School,Yes,94,High,Yes
ST4073,18,Female,3.83,Yes,38,High School,Yes,93,Low,Yes
ST4074,21,Male,3.02,No,22,Bachelor's,No,83,High,No
ST4075,18,Female,3.0,Yes,34,Bachelor's,Yes,81,High,Yes
ST4076,20,Male,3.6,No,19,Master's,Yes,64,Low,Yes
ST4077,20,Female,3.3,No,31,High School,Yes,92,Low,No
ST4078,23,Male,3.4,Yes,38,High School,No,95,High,No
ST4079,20,Female,3.59,Yes,37,High School,Yes,79,Low,No
ST4080,23,Female,3.78,Yes,28,Master's,No,78,Medium,Yes
ST4081,20,Female,2.68,No,19,Master's,Yes,94,Medium,Yes
ST4082,21,Female,2.75,Yes,34,Bachelor's,Yes,76,Low,Yes
ST4083,24,Male,2.19,No,21,Bachelor's,Yes,93,High,No
ST4084,23,Female,3.16,No,9,Bachelor's,No,68,Low,No
ST4085,19,Male,2.07,Yes,33,High School,Yes,85,Low,Yes
ST4086,22,Male,2.93,Yes,8,High School,No,61,High,No
ST4087,17,Male,3.09,No,14,Bachelor's,No,68,High,No
ST4088,20,Male,2.57,No,21,High School,No,68,Medium,No
ST4089,18,Female,3.18,Yes,14,Bachelor's,Yes,99,High,Yes
ST4090,24,Male,2.06,Yes,21,Master's,Yes,76,Medium,No
ST4091,20,Male,2.07,Yes,24,Bachelor's,Yes,60,High,No
ST4092,18,Male,3.65,Yes,28,Master's,Yes,84,Low,Yes
ST4093,22,Female,2.72,Yes,9,High School,No,99,Medium,Yes
ST4094,22,Female,2.25,No,38,Bachelor's,No,84,Medium,No
ST4095,22,Female,3.04,No,10,High School,No,98,Medium,No
ST4096,18,Female,3.54,No,6,Master's,Yes,94,Low,Yes
ST4097,20,Male,2.43,No,17,Master's,No,62,Low,Yes
ST4098,22,Male,3.25,Yes,15,Master's,Yes,96,Low,No
ST4099,21,Female,2.17,Yes,27,High School,No,89,Low,No
ST4100,23,Male,2.1,Yes,20,High School,Yes,97,Low,No
ST4101,18,Male,3.06,No,35,High School,Yes,93,Medium,No
ST4102,18,Male,3.08,No,15,High School,No,71,Low,Yes
ST4103,20,Female,3.27,Yes,20,Master's,No,78,Medium,No
ST4104,18,Female,3.45,Yes,12,Master's,No,96,Low,No
ST4105,18,Male,3.95,No,8,Bachelor's,No,76,High,Yes
ST4106,22,Female,3.03,No,8,Bachelor's,Yes,69,Medium,No
ST4107,20,Female,2.65,Yes,29,High School,No,71,High,Yes
ST4108,22,Female,3.59,Yes,7,Master's,No,75,Medium,No
ST4109,23,Female,2.54,No,36,Master's,No,83,High,No
ST4110,24,Female,2.88,Yes,7,Master's,Yes,78,Low,Yes
ST4111,23,Male,2.16,Yes,31,Bachelor's,Yes,67,Low,Yes
ST4112,24,Female,2.05,Yes,33,Bachelor's,No,90,Low,No
ST4113,22,Male,3.93,No,36,Master's,Yes,80,Medium,No
ST4114,23,Male,3.67,No,23,Master's,No,76,High,No
ST4115,20,Female,3.39,No,25,Master's,Yes,82,Low,Yes
ST4116,17,Male,2.82,No,9,Bachelor's,Yes,96,High,No
ST4117,22,Male,2.35,No,22,Master's,Yes,75,High,Yes
ST4118,24,Male,2.31,No,32,Master's,Yes,65,Low,Yes
ST4119,21,Female,2.5,No,26,High School,No,67,Low,No
ST4120,24,Female,3.1,Yes,25,High School,No,84,High,Yes
ST4121,21,Male,3.43,Yes,10,Bachelor's,No,77,Low,No
ST4122,18,Female,3.32,Yes,5,Master's,Yes,84,Low,No
ST4123,23,Female,2.56,Yes,9,Master's,No,71,Low,No
ST4124,21,Female,3.91,Yes,16,High School,No,74,Medium,No
ST4125,24,Female,3.48,Yes,30,Bachelor's,No,85,High,No
ST4126,18,Male,3.11,Yes,38,High School,Yes,85,High,Yes
ST4127,17,Male,3.22,No,18,High School,Yes,91,Medium,Yes
ST4128,20,Female,2.84,No,30,High School,Yes,69,High,No
ST4129,20,Female,2.5,Yes,31,High School,No,75,Low,No
ST4130,20,Male,2.71,Yes,13,Master's,No,66,High,Yes
ST4131,21,Male,3.52,No,30,Master's,No,76,Low,Yes
ST4132,17,Female,2.03,Yes,26,High School,Yes,82,Medium,Yes
ST4133,21,Male,2.23,Yes,34,Bachelor's,Yes,85,Low,Yes
ST4134,23,Female,2.09,No,21,Bachelor's,No,80,High,No
ST4135,21,Female,2.08,Yes,30,Bachelor's,Yes,81,High,No
ST4136,17,Male,3.71,No,5,Bachelor's,Yes,66,High,Yes
ST4137,17,Male,3.41,Yes,12,High School,Yes,73,Medium,No
ST4138,23,Female,2.95,No,39,Master's,Yes,74,Medium,Yes
ST4139,17,Female,2.2,No,19,Bachelor's,No,66,High,No
ST4140,24,Male,2.98,No,26,High School,Yes,68,Low,Yes
ST4141,17,Female,2.95,Yes,18,Bachelor's,Yes,67,Medium,No
ST4142,20,Male,2.35,No,30,Bachelor's,Yes,82,High,Yes
ST4143,24,Female,2.87,Yes,32,High School,Yes,88,High,Yes
ST4144,24,Male,2.8,Yes,27,Master's,No,77,Medium,No
ST4145,23,Male,3.23,Yes,18,Master's,No,90,Medium,Yes
ST4146,19,Male,3.27,Yes,28,High School,Yes,89,Medium,No
ST4147,19,Female,2.09,No,6,Master's,Yes,98,Low,No
ST4148,17,Female,2.75,No,30,High School,Yes,94,Low,Yes
ST4149,24,Male,3.25,Yes,18,High School,Yes,77,High,No
ST4150,19,Female,3.01,Yes,11,High School,Yes,98,Medium,No
ST4151,19,Male,3.71,No,7,Master's,Yes,76,Low,No
ST4152,17,Male,3.32,Yes,27,High School,No,73,Medium,No
ST4153,19,Female,2.33,No,22,Bachelor's,Yes,90,High,No
